Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Apr 2021)","FOB (BAHT)(Apr 2021)","Quantity (Jan - Apr 2021)","FOB (BAHT)(Jan - Apr 2021)"
2564,4,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",568785,19865374,2808385,93505074
2564,4,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",300,10893,15060,484175
2564,4,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",430760,20026591,1432746,64363475
2564,4,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,4,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",111500,3846719,561982,19627230
2564,4,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",753009,17249631,3282081,71775300
2564,4,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,4,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,153,1,450
2564,4,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",49238,1384194,268440,5292023
2564,4,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",331784,6569345,3107314,47067751
2564,4,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28160
2564,4,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",33707,2231917,120799,7595709
2564,4,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",1700,93498,11000,559070
2564,4,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,4,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",30000,467766,9007364,136087450
2564,4,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",47026,2168194,186883,8291479
2564,4,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",1221480,18678748,3341501,58253514
2564,4,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",50040,3021075,138640,8028304
2564,4,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",16180,1089970,264662,15170147
2564,4,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",77971,3989125,557468,28152516
2564,4,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",33211,2180134,160478,10934997
2564,4,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",12448,951520,92998,6502109
2564,4,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,1000,56224
2564,4,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",122012,5712167,547104,23841399
2564,4,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",350949,15210575,1017011,46684247
2564,4,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",113580,5655340,214489,12484856
2564,4,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",6410,558484,90107,5418442
2564,4,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,4,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",94550,5628129,415739,24527243
2564,4,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",39313,2565601,350551,19697839
2564,4,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",4000,226981,5000,297484
2564,4,2,HK,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",13800,658607,38138,1848144
2564,4,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",3480,238985,11784,778286
2564,4,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",0,0,11100,1028444
2564,4,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",0,0,14312,1578855
2564,4,2,SG,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",120,4756,170,6712
2564,4,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",9169588,228908689,42991761,1022029837
2564,4,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,4,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,4,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",135400,2359022,781900,18769313
2564,4,2,IT,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,2040,80201
2564,4,2,KR,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",0,0,1,388
2564,4,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",59589825,1751970766,346281732,9858002929
2564,4,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",26000,732909,306749,7890079
2564,4,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,86920,2107743
