Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2022)","FOB (BAHT)(Feb 2022)","Quantity (Jan - Feb 2022)","FOB (BAHT)(Jan - Feb 2022)"
2565,2,2,AU,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",900815,28057563,1657229,51481558
2565,2,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",840,21645,3840,129398
2565,2,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",365300,16796144,570885,27338415
2565,2,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",46000,1586989,92000,3173987
2565,2,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",460778,10220710,942462,21221894
2565,2,2,JP,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",500,47275,500,47275
2565,2,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",16666000,201830817,16712082,202801167
2565,2,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",3419000,43174534,3419000,43174534
2565,2,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",324300,5369118,407300,7357918
2565,2,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",39920,2284649,46900,2803029
2565,2,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2280,89807,8480,431558
2565,2,2,FR,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",155500,2101878,448000,6633651
2565,2,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",56434,2151728,97023,3895248
2565,2,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",151810,5086123,279033,10152377
2565,2,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",25400,1356360,52400,2803945
2565,2,2,AU,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",165465,13250059,213277,17382579
2565,2,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",141024,6922341,242096,12027647
2565,2,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",63950,3928440,71150,4440635
2565,2,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",34100,2363607,46100,3275609
2565,2,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",4000,238962,5000,300735
2565,2,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",263702,10346223,389888,15562147
2565,2,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",291278,11975899,485761,19474171
2565,2,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",63000,3979745,89000,5538559
2565,2,2,IT,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",13350,852727,13350,852727
2565,2,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",115144,6962795,268316,14729202
2565,2,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",142227,7977275,326237,17867468
2565,2,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",1500,119153,1500,119153
2565,2,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",3425,200081,27425,1279610
2565,2,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",0,0,5400,382573
2565,2,2,HK,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",6000,704411,6000,704411
2565,2,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",0,0,6080,767399
2565,2,2,US,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",5,500,5,500
2565,2,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",13659257,284741622,28668508,583843264
2565,2,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",213020,3623067,619830,10244284
2565,2,2,ES,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",24002,468932,24002,468932
