Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Sept 2018)","FOB (BAHT)(Sept 2018)","Quantity (Jan - Sept 2018)","FOB (BAHT)(Jan - Sept 2018)"
2561,9,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,9,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,11474,2015135
2561,9,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",891775,34830176,12612881,424171134
2561,9,2,MY,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,3000,176399
2561,9,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",0,0,251616,8663653
2561,9,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",316939,13288683,3081334,131679577
2561,9,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",2500,142145,31480,1685460
2561,9,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",22300,970045,1003040,34221221
2561,9,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",447119,9351204,7496700,180264932
2561,9,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,9,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",43,4410,44385,834817
2561,9,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",3424136,44812343,13658405,175777424
2561,9,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",5255000,68388274,11469000,167407019
