Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jul 2022)","FOB (BAHT)(Jul 2022)","Quantity (Jan - Jul 2022)","FOB (BAHT)(Jan - Jul 2022)"
2565,7,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",553814,21246124,5364018,176103370
2565,7,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",6360,369443,24240,957599
2565,7,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",362430,15731392,2137505,99035707
2565,7,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,96000,4032000
2565,7,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",223000,7693486,984000,33744941
2565,7,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",784680,20108036,4586375,108936146
2565,7,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1356,130311
2565,7,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",0,0,16794020,205467760
2565,7,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,5556000,69759771
2565,7,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",284448,5850478,1782796,32370170
2565,7,2,CA,10062090,019,KGM,"Other husked rice (cargo rice) 100 % Grade C (KGM)",0,0,21000,423351
2565,7,2,SE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,414,38194
2565,7,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",19140,1202142,314700,15907387
2565,7,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",1000,58942,18500,1042952
2565,7,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",601536,9615645,9480236,133346592
2565,7,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",14518,750101,285316,12063681
2565,7,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",211650,7514202,2049627,57983507
2565,7,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",53600,2868049,167400,9074876
2565,7,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",11368,930977,761818,45601233
2565,7,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",89919,4565791,798719,40957771
2565,7,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",31346,2124295,201246,13710113
2565,7,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",2064,211132,63042,4810468
2565,7,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",2500,155672,19500,1174280
2565,7,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",91662,4209366,1186357,47565106
2565,7,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",300056,11437952,1719210,67598692
2565,7,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",5200,444842,169120,11159122
2565,7,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",48480,2643165,207240,11342200
2565,7,2,AU,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",4000,152829,4000,152829
2565,7,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",90408,5177308,765173,42888991
2565,7,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",41275,2654597,604586,34132190
2565,7,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,15500,1157329
2565,7,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",1560,80381,92533,4382033
2565,7,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",2400,162618,25080,1665592
2565,7,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",0,0,15800,1781270
2565,7,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",0,0,21620,2574587
2565,7,2,KR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,8,922
2565,7,2,US,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",0,0,2,854
2565,7,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",5806455,138925882,81305039,1718729982
2565,7,2,FR,10063030,006,KGM,"Glutinous rice 25 % (KGM)",490575,10452900,2564995,54180392
2565,7,2,FR,10063030,500,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (Organic) (KGM)",0,0,11385,586415
2565,7,2,ES,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",251,19862,1150710,20292274
2565,7,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",66140328,2168947577,760201287,21336102856
2565,7,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",93081,3185787,1656399,41266371
2565,7,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,1168690,28330599
2565,7,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",22000,742104,61200,1856864
2565,7,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",855003,39753837,8554773,391475398
2565,7,2,AE,10063070,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",19235967,549195748,194817993,4835128684
2565,7,2,CG,10063070,002,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",216645,5385258,3863732,91253451
2565,7,2,AU,10063070,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",91800,2399239,1180600,29137794
2565,7,2,AE,10063070,004,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",537228,12470512,2991926,64185360
2565,7,2,AE,10063070,501,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,3000,142938
2565,7,2,AU,10063070,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",427600,13392853,3989844,104642681
2565,7,2,CH,10063070,601,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,300,21069
2565,7,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",99601997,1514821498,627997158,8685201822
2565,7,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",205920,3794042,4925730,81567162
2565,7,2,AL,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",15723500,228191331,59118500,778700831
2565,7,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",126980,3118635,1586712,24965959
2565,7,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,522000,7701939
2565,7,2,GH,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",0,0,288000,5876356
2565,7,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",164355224,2306016349,1110849603,15146008839
2565,7,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",19000,383301,58000,1138446
2565,7,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",102629010,1510239830,530518086,7235624793
2565,7,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",610000,9720105,5338800,76368549
2565,7,2,LK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1041297,19850230,12696031,186946367
2565,7,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",109537,3771473,524994,17794937
2565,7,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",394632,6133594,6876084,98904167
2565,7,2,US,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",78000,2380855,1103500,18846444
2565,7,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",1071000,21865548,4838000,90737861
2565,7,2,BD,10063099,090,KGM,"Other (KGM)",2020,394668,17045,3554075
2565,7,2,BD,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",27582108,442036866,151988902,2278896300
2565,7,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",59160,2004515,327733,12406204
2565,7,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",13,71,37,1667
2565,7,2,AE,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,20050,462624
2565,7,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",683478,14459036,6452394,121075310
2565,7,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",53493,1103144,619979,10002608
2565,7,2,AO,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",27714888,418794100,190393581,2744588014
2565,7,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",10974398,154797190,93704354,1168556078
2565,7,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",473000,8464911,753211,13821021
