Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2018)","FOB (BAHT)(Jun 2018)","Quantity (Jan - Jun 2018)","FOB (BAHT)(Jan - Jun 2018)"
2561,6,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,6,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",3,56,11474,2015135
2561,6,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1634803,58491063,9194101,297307994
2561,6,2,MY,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,3000,176399
2561,6,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",4824,202797,133020,3957861
2561,6,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",501015,21325139,2185829,92118563
2561,6,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",4000,200268,24500,1303176
2561,6,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,980740,33251176
2561,6,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",805060,21557175,5884421,139361220
2561,6,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,6,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",68,8285,202,21191
2561,6,2,IL,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",32000,460993,271883,4065808
2561,6,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",295000,8743397,624000,18248349
2561,6,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",748702,14922397,4255387,81756216
2561,6,2,AU,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",53774,2778748,178360,13123527
2561,6,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",10391,662641,309535,16295781
2561,6,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",26614,2096191,205967,11150905
2561,6,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,45
2561,6,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,504,31888
2561,6,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",6925000,97363606,37684750,519072283
2561,6,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",70693,3064316,491191,20737262
2561,6,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",212571,11641858,1060353,56860483
2561,6,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",632588,22913215,3579443,120997580
2561,6,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",121704,6090227,731525,32614087
2561,6,2,GB,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",37620,2282400,178110,12054285
2561,6,2,DE,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,34,1756
