Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Aug 2018)","FOB (BAHT)(Aug 2018)","Quantity (Jan - Aug 2018)","FOB (BAHT)(Jan - Aug 2018)"
2561,8,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,8,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,11474,2015135
2561,8,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1148802,41546390,11721106,389340958
2561,8,2,MY,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,3000,176399
2561,8,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",5500,213207,251616,8663653
2561,8,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",310658,13797684,2764395,118390894
2561,8,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",1780,102617,28980,1543315
2561,8,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,980740,33251176
2561,8,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",172179,4565744,7049581,170913728
2561,8,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,8,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",44081,802961,44342,830407
2561,8,2,IL,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",9962386,126899273,10234269,130965081
2561,8,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",5295000,71875556,6214000,99018745
2561,8,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",670301,14780033,6498922,122321590
2561,8,2,AU,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",20152,1231332,220730,15886000
2561,8,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",72144,4459887,420879,22929140
2561,8,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",14796,906475,263387,13944832
2561,8,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,45
2561,8,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,504,31888
2561,8,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",7405000,101224107,48739750,671612993
2561,8,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",108582,4913442,644715,27732875
2561,8,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",156897,9713959,1267816,69331635
2561,8,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",597163,21980933,4824239,168209091
2561,8,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",187533,8530078,1042478,46961233
2561,8,2,GB,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",50250,3078000,270960,17688285
2561,8,2,DE,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,34,1756
2561,8,2,ID,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",210000,3204601,1464000,22018709
2561,8,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",8734771,187912407,117870453,2483524529
2561,8,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",201025,3983700,947124,19101878
2561,8,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",370930,6245663,2298927,37561781
2561,8,2,ID,10063030,006,KGM,"Glutinous rice 25 % (KGM)",630735,11753748,5659971,100654080
2561,8,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",173824,12181972,1526544,93458647
2561,8,2,HK,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",115000,2491880,340248,7061304
2561,8,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",95387129,3658286689,790607616,28024503669
2561,8,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",803953,29785517,5155288,173595007
2561,8,2,LA,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",2000,73355,1465904,41079920
