Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Sept 2022)","FOB (BAHT)(Sept 2022)","Quantity (Jan - Sept 2022)","FOB (BAHT)(Jan - Sept 2022)"
2565,9,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",849688,30235560,6652835,223051664
2565,9,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",720,24042,25800,1011792
2565,9,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",182325,8863789,2596152,120495085
2565,9,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,96002,4033093
2565,9,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,1095500,37591652
2565,9,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",832729,20372866,5865206,142278472
2565,9,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1357,130347
2565,9,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",40208,1382403,16834228,206850163
2565,9,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",14025000,203806023,19581000,273565794
2565,9,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",227010,4305200,2355166,43107257
2565,9,2,CA,10062090,019,KGM,"Other husked rice (cargo rice) 100 % Grade C (KGM)",0,0,21000,423351
2565,9,2,SE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,414,38194
2565,9,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",102640,3422873,588040,25590007
2565,9,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",600,36791,21100,1202180
2565,9,2,US,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,346,31200
2565,9,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",21003,718809,11776239,169913898
2565,9,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",16287,776485,334112,14431237
2565,9,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",74980,3800878,2281957,67397309
2565,9,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",30440,1626643,209055,11319090
2565,9,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",133232,7188136,908601,53792917
2565,9,2,AR,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",148136,7552925,1007431,52026854
2565,9,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",2965,340060,210213,14561029
2565,9,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",840,62283,66822,5239298
2565,9,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",200,13690,21700,1315873
2565,9,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",181651,7631584,1458594,59452877
2565,9,2,AR,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",280638,10733682,2150583,85521917
2565,9,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",15550,1066984,247548,16591399
2565,9,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",1370,108718,210530,11610668
2565,9,2,AU,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,4000,152829
2565,9,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",124758,6685824,997028,56628049
2565,9,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",31239,2102187,660705,38108825
2565,9,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,18500,1412589
2565,9,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",39995,1751226,141132,6469925
2565,9,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",1200,81667,30000,2005646
2565,9,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",8536,1001796,24336,2783066
2565,9,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",0,0,26980,3193625
2565,9,2,KR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",1,570,9,1492
2565,9,2,US,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",0,0,2,854
2565,9,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",7185386,165535732,92143411,1980077606
2565,9,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",30000,695173,30000,695173
2565,9,2,FR,10063030,006,KGM,"Glutinous rice 25 % (KGM)",382660,7019655,3571915,74608468
2565,9,2,LA,10063030,008,KGM,"Glutinous rice 35 %  (KGM)",904250,1508581,904250,1508581
2565,9,2,FR,10063030,500,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (Organic) (KGM)",0,0,11385,586415
2565,9,2,AU,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,1154710,20572131
2565,9,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",73905886,2455333413,909691663,26323813489
2565,9,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",96000,3285494,1975496,51846532
2565,9,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,1255845,30839573
2565,9,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",18900,609714,129100,4047318
2565,9,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",926080,42683808,11220358,518507747
2565,9,2,AE,10063070,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",30224074,787632212,273803926,6919891293
2565,9,2,CG,10063070,002,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",139266,2494728,4026998,94290402
2565,9,2,AU,10063070,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",0,0,1287200,31174395
2565,9,2,AE,10063070,004,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",467004,11442294,3846125,85409603
2565,9,2,AE,10063070,501,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",59100,2503971,62100,2646909
2565,9,2,AU,10063070,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",136120,4143420,4283824,113971188
2565,9,2,CH,10063070,601,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,300,21069
2565,9,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",110954684,1669764432,839252504,11827949196
2565,9,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",1187632,21303314,6787244,114458745
2565,9,2,AL,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",53709000,817654248,142125500,2030817132
2565,9,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",3548240,53217106,5163202,78840437
2565,9,2,ZA,10063091,007,KGM,"Parboiled rice 15% (KGM)",2000000,27878222,2000000,27878222
2565,9,2,AU,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",390000,5515039,1472000,21364895
2565,9,2,GH,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",0,0,288000,5876356
2565,9,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",128602887,2026411075,1467922320,20630152116
2565,9,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,58000,1138446
2565,9,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",100086663,1527116247,735767175,10360238244
2565,9,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",321960,5063497,5780000,83454340
2565,9,2,EG,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",965568,17949217,18492714,278521460
2565,9,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",75158,2508497,738940,25413318
2565,9,2,US,10063099,017,KGM,"White non-glutinous rice 20 % (as sample) (KGM)",20000,449189,20000,449189
2565,9,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",394632,6190180,7270716,105094347
2565,9,2,US,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",78000,2419202,1181500,21265646
2565,9,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",763000,15181628,6370000,121767547
2565,9,2,BD,10063099,090,KGM,"Other (KGM)",1967,355169,20900,4429217
2565,9,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",14814755,246965414,172085198,2618679128
2565,9,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",27680,1152100,406693,16100947
2565,9,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",180000,308014,180039,310767
2565,9,2,AE,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,20050,462624
2565,9,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",659347,13857608,7838859,150852547
2565,9,2,BE,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",150500,2353072,948822,15391352
2565,9,2,AO,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",24589948,396753032,235160034,3458788085
2565,9,2,BJ,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",29183795,401351507,148289709,1930112225
2565,9,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",155000,259710,972777,15410962
2565,9,2,BE,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",11288895,175364983,77393987,1135913416
2565,9,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",16548860,272438874,104981470,1620762601
2565,9,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",232000,7039430,856000,23351113
2565,9,2,AU,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2151900,41114368,15858400,286143993
2565,9,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",1780000,26140290,15304090,210698771
2565,9,2,GB,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",20000,527619,120090,2803773
