Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2020)","FOB (BAHT)(Mar 2020)","Quantity (Jan - Mar 2020)","FOB (BAHT)(Jan - Mar 2020)"
2563,3,2,GB,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,1,30
2563,3,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1133098,44246579,2677345,101756921
2563,3,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1080,54571,18280,675349
2563,3,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",300,14855,300,14855
2563,3,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",375054,17732597,944006,43539138
2563,3,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,3,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",359788,12395921,808776,27514796
2563,3,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1151541,24222865,2831533,59430625
2563,3,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,23000,557687
2563,3,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,3,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",2577756,35368669,5591088,75137029
2563,3,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
2563,3,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1077267,15106184,2582779,37150640
2563,3,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",50188,3708291,124183,8661386
2563,3,2,HK,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",720,44118,5520,330646
2563,3,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",3458000,46093029,14377200,184193597
2563,3,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",81998,4481892,217250,11530538
2563,3,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",239480,9592892,619720,23584205
2563,3,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",55180,3421160,129600,7932018
2563,3,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",56561,4450471,214350,12095364
2563,3,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",185446,9958412,520739,27669050
2563,3,2,CH,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",11105,598684,33085,2124514
2563,3,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",12204,849487,26145,2128145
2563,3,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,1006,69269
2563,3,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,2,57
2563,3,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",135841,8256712,489563,28286792
2563,3,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",269316,15856341,848220,47919195
2563,3,2,CA,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",68225,3832883,112782,6822345
2563,3,2,HK,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",28465,1907945,148999,8987642
2563,3,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,3,60
2563,3,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,2,57
2563,3,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",182976,10476159,479581,27269240
2563,3,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",112793,6631669,379494,21202498
2563,3,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,3000,239779
2563,3,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",20950,1161495,86965,4619318
2563,3,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",6000,459023,13440,1004986
2563,3,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",9866,1008601,13682,1315470
2563,3,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",24376,2363130,41376,4064692
2563,3,2,US,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,0,30
2563,3,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",8999501,342448810,22886860,855757389
2563,3,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,15190,251872
2563,3,2,DE,10063030,006,KGM,"Glutinous rice 25 % (KGM)",46305,1866227,110385,3090699
2563,3,2,DE,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",3000,125026,3000,125026
2563,3,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",128224261,4522402384,309895991,10874892596
2563,3,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",215904,6483277,313909,9827432
2563,3,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",435161,12389526,478674,13596408
2563,3,2,AU,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",58480,1544569,99525,2607084
2563,3,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1636637,80214729,3266664,156866138
2563,3,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",4788,436520,9792,877814
2563,3,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",67458314,914309218,225363582,2878585626
2563,3,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",2225033,31440466,6833122,95867155
2563,3,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",5656708,76049701,22196277,274705614
2563,3,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",1137000,15307048,3211994,43021909
2563,3,2,SG,10063091,007,KGM,"Parboiled rice 15% (KGM)",2000,28471,2000,28471
2563,3,2,EG,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",1141600,14076631,1141600,14076631
2563,3,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",36361577,873787703,90782154,2146793006
2563,3,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",1569078,37754875,2885376,72339891
