Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2019)","FOB (BAHT)(Feb 2019)","Quantity (Jan - Feb 2019)","FOB (BAHT)(Jan - Feb 2019)"
2562,2,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,4,97
2562,2,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",764768,30579495,1570946,62472756
2562,2,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",504,24592,7592,314870
2562,2,2,AU,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",330055,14138105,416036,18518702
2562,2,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",2500,136938,11500,674093
2562,2,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",178360,5940822,178360,5940822
2562,2,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",219561,5523440,1931207,46299198
2562,2,2,ES,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,480,28259
2562,2,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",89200,2971077,89200,2971077
2562,2,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",14,1259,68,6771
2562,2,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",177000,3963624,5061267,66380921
2562,2,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,293000,7884600
2562,2,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1486436,21850165,2385274,37120973
2562,2,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",9900,644514,31134,2153454
2562,2,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",86320,4792227,111011,6736860
2562,2,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",77354,4372469,119880,6973294
2562,2,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",6341500,85339793,16945500,229055133
2562,2,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",70563,3310737,152370,7056601
2562,2,2,AU,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",317568,16097629,605123,29748524
2562,2,2,AU,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",719565,34677065,1259288,59321943
