Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Apr 2018)","FOB (BAHT)(Apr 2018)","Quantity (Jan - Apr 2018)","FOB (BAHT)(Jan - Apr 2018)"
2561,4,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",13,471,51,3289
2561,4,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",2280,247777,11444,2014893
2561,4,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1202394,37638579,6055675,189312023
2561,4,2,MY,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",3000,176399,3000,176399
2561,4,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",4680,191680,96660,3074474
2561,4,2,BE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",339743,14002626,1408404,58563977
2561,4,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",3500,170163,20500,1102908
2561,4,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",267910,8923507,891920,30292769
2561,4,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",610055,13780705,3526895,78566948
2561,4,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,4,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",2,620,94,9124
2561,4,2,SG,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",29636,521681,105611,1519159
2561,4,2,US,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",38000,1093674,76000,2210704
2561,4,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",572188,9512428,2692844,49726552
2561,4,2,AU,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",42259,2566997,119076,9905479
2561,4,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",61744,3084652,223376,11932856
2561,4,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",61760,2699551,168778,8423794
2561,4,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,45
2561,4,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,504,31888
2561,4,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",5300000,69955516,25591000,350316936
2561,4,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",91522,3892487,297362,12459607
2561,4,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",314376,16874985,701232,37988711
2561,4,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",545658,19048383,2427665,79856761
