Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2020)","FOB (BAHT)(Jun 2020)","Quantity (Jan - Jun 2020)","FOB (BAHT)(Jan - Jun 2020)"
2563,6,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",0,0,577187,18444645
2563,6,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,538674,15730562
2563,6,2,AU,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",3000,112193,147715,3890710
2563,6,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1558703,77000374,7502191,368340004
2563,6,2,GB,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",4000,251583,4000,251583
2563,6,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,9792,877814
2563,6,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",50048513,829185907,447989330,6367131573
2563,6,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",983740,18554215,10107425,157594885
2563,6,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",9984000,149304955,50795313,695730780
2563,6,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",0,0,4184976,61051600
2563,6,2,SG,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,5000,73187
2563,6,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",780000,9959891,2701600,34253740
2563,6,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",32278270,828890721,231186269,5706847807
2563,6,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",400586,12041344,5887936,149834221
2563,6,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",645000,20215790,866000,23999848
2563,6,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",125080,2457002,2413455,52508049
2563,6,2,AE,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",7000,136292,554015,9547842
2563,6,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",33434895,516258839,231040000,3279619430
2563,6,2,FR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,68300,1402236
2563,6,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",62801527,1057380427,591130017,8662058073
2563,6,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",768000,12060394,12485394,186655190
2563,6,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",934920,16943006,7944035,132065926
2563,6,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",56146,1915227,371464,12163094
2563,6,2,AE,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",437972,7608808,2869893,44036349
2563,6,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",150000,2113232,450000,6427204
2563,6,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",540000,11432311,5202250,100011646
2563,6,2,AU,10063099,090,KGM,"Other (KGM)",4636,1208683,20716,4783406
2563,6,2,AU,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",9756,558008,109072,5441313
2563,6,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",1805265,38548609,14769565,337564898
2563,6,2,BJ,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",14359830,209900081,175047484,2329832041
2563,6,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",100000,4558882,280300,12806514
2563,6,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",13820,774209,266723,12921116
2563,6,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,129,24398
2563,6,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,40000,770707
2563,6,2,AE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",561802,14499143,7150949,157558113
2563,6,2,CA,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",35500,910338,738984,11123070
2563,6,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",21838370,340452152,126056273,1877547305
2563,6,2,AE,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",4739484,59539459,25359259,309674448
2563,6,2,BJ,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",276400,3884578,659567,11275120
2563,6,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",5645240,83758102,95948845,1317565499
2563,6,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,69000,1134730
2563,6,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",12407800,349665490,56846850,1610172006
2563,6,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,1013085,492000,12369731
2563,6,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1059000,15376475,9924540,155452411
2563,6,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",1200000,24298206,10801300,201361025
2563,6,2,SG,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",0,0,5000,141892
2563,6,2,CN,10064090,606,KGM,"Broken rice parboiled, n.e.s. (as sample) (Organic) (KGM)",0,0,500000,5833657
2563,6,2,US,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,57000,1164565
