Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jan 2019)","FOB (BAHT)(Jan 2019)","Quantity (Jan - Jan 2019)","FOB (BAHT)(Jan - Jan 2019)"
2562,1,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",4,97,4,97
2562,1,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",806178,31893261,806178,31893261
2562,1,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",7088,290278,7088,290278
2562,1,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",85981,4380597,85981,4380597
2562,1,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",9000,537155,9000,537155
2562,1,2,CH,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1711646,40775758,1711646,40775758
2562,1,2,ES,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",480,28259,480,28259
2562,1,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",54,5512,54,5512
2562,1,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",4884267,62417297,4884267,62417297
2562,1,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",293000,7884600,293000,7884600
2562,1,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",898838,15270808,898838,15270808
2562,1,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",21234,1508940,21234,1508940
2562,1,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",24691,1944633,24691,1944633
2562,1,2,DK,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",42526,2600825,42526,2600825
2562,1,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",10604000,143715340,10604000,143715340
2562,1,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",81807,3745864,81807,3745864
2562,1,2,AU,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",287555,13650895,287555,13650895
2562,1,2,AU,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",539723,24644878,539723,24644878
2562,1,2,CA,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",177289,9941104,177289,9941104
2562,1,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",15000,900000,15000,900000
2562,1,2,VN,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",150000,3136500,150000,3136500
2562,1,2,MM,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",30000,360001,30000,360001
2562,1,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",13105527,300754844,13105527,300754844
2562,1,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",358240,8169355,358240,8169355
2562,1,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",225400,3715594,225400,3715594
2562,1,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",575275,10865583,575275,10865583
2562,1,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",205655,13610691,205655,13610691
2562,1,2,FR,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",96343,1766852,96343,1766852
2562,1,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",103416137,3840911538,103416137,3840911538
2562,1,2,CI,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",604800,21669925,604800,21669925
2562,1,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",162621,4859406,162621,4859406
2562,1,2,AU,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",604600,28500331,604600,28500331
2562,1,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",170015178,2123427044,170015178,2123427044
2562,1,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",3262713,42353574,3262713,42353574
2562,1,2,BJ,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",38977900,483663882,38977900,483663882
2562,1,2,CA,10063091,004,KGM,"Parboiled rice 5%  (KGM)",204994,2752160,204994,2752160
2562,1,2,RU,10063091,007,KGM,"Parboiled rice 15% (KGM)",100000,1329913,100000,1329913
2562,1,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",2999152,32971978,2999152,32971978
2562,1,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",20694359,537162635,20694359,537162635
2562,1,2,CH,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",472060,14589113,472060,14589113
2562,1,2,MM,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",30000,420003,30000,420003
2562,1,2,HK,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",369280,8588441,369280,8588441
2562,1,2,AO,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",3,615,3,615
2562,1,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",56784461,768610257,56784461,768610257
2562,1,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",156760,2586817,156760,2586817
2562,1,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",218765848,2804810331,218765848,2804810331
2562,1,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",830400,11436992,830400,11436992
2562,1,2,PH,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",14885474,185455995,14885474,185455995
2562,1,2,AU,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",29661,1006240,29661,1006240
2562,1,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",120272652,1455857752,120272652,1455857752
2562,1,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",1330000,24553887,1330000,24553887
2562,1,2,AO,10063099,090,KGM,"Other (KGM)",2042,541656,2042,541656
2562,1,2,GQ,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",343117,10964821,343117,10964821
2562,1,2,BD,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",81350009,1025041260,81350009,1025041260
2562,1,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",44750,1961289,44750,1961289
2562,1,2,BE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",1728688,38053452,1728688,38053452
2562,1,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",55973,860618,55973,860618
2562,1,2,AU,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",29730005,421931661,29730005,421931661
2562,1,2,AU,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",8895750,100638394,8895750,100638394
2562,1,2,CI,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",572235,12067650,572235,12067650
2562,1,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",25014227,343896042,25014227,343896042
2562,1,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",5792880,109277230,5792880,109277230
2562,1,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,1012032,40000,1012032
2562,1,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2695900,39947703,2695900,39947703
