Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2021)","FOB (BAHT)(Oct 2021)","Quantity (Jan - Oct 2021)","FOB (BAHT)(Jan - Oct 2021)"
2564,10,2,US,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",3,66,3,66
2564,10,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,7,1393
2564,10,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",745997,24295166,6715638,222213482
2564,10,2,US,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,735,25380
2564,10,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",0,0,30660,1070734
2564,10,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",352081,15245082,2578831,118525026
2564,10,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,10,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",66000,2276981,895582,31245983
2564,10,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",500908,12317133,6744262,151951165
2564,10,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,10,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,81,11277
2564,10,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",34416,1616584,14987708,236467740
2564,10,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,15549000,231070618
2564,10,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",20209740,255336534,25284572,344711783
2564,10,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28186
2564,10,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",20223,1562519,1357908,34218990
2564,10,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,80
2564,10,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",1600,94202,26269,1361713
2564,10,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,363,56940
2564,10,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,10,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",401500,6517015,13721124,204297345
2564,10,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",39380,1862006,438131,19289597
2564,10,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",133725,4254726,4428625,96519731
2564,10,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",44253,2445066,374333,20698032
2564,10,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",37958,3108599,464486,28609133
2564,10,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",138311,7458361,1276861,66924289
2564,10,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",1940,148208,219442,15781808
2564,10,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",1080,84054,105882,7732892
2564,10,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,17000,1041151
2564,10,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,44000,2233589
2564,10,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",152663,5806889,1373321,59051924
2564,10,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",120507,5955324,2186329,97984518
2564,10,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",6304,526512,288229,17686663
2564,10,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",2150,160064,124333,7583815
2564,10,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,10,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",139968,8217125,1015994,59210874
2564,10,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",66008,4021229,759744,44392050
2564,10,2,DE,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",3000,210570,3000,210570
2564,10,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,13500,903769
2564,10,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",30372,1528873,125836,6216152
