Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Nov 2018)","FOB (BAHT)(Nov 2018)","Quantity (Jan - Nov 2018)","FOB (BAHT)(Jan - Nov 2018)"
2561,11,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,11,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",273,315,11747,2015450
2561,11,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1071203,40476229,14880257,508615648
2561,11,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,8000,392037
2561,11,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1474,64679,258618,8955967
2561,11,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",86336,4524644,3656877,157267093
2561,11,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",6500,366501,37980,2051961
2561,11,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,1003040,34221221
2561,11,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",541325,12681237,9234372,215145294
2561,11,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,11,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",13,1296,44444,840632
2561,11,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",17136,360940,13737539,176983517
2561,11,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",215000,5896090,21939000,303517161
2561,11,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1210200,19686529,9394173,172746053
2561,11,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",29755,1973380,322726,22753856
2561,11,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",28989,1840843,457486,25237449
2561,11,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",52005,3648700,472925,25802382
2561,11,2,SG,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,45
2561,11,2,SE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,504,31888
2561,11,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",4150000,56748073,62091250,852898614
2561,11,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",42732,1836637,809228,35257918
2561,11,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",190032,9823473,1693739,91202548
2561,11,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",255259,11687317,6236964,225958244
2561,11,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",72752,3562884,1398971,65567999
2561,11,2,GB,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",49494,2988260,371184,23840645
2561,11,2,DE,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",5,2430,39,4186
2561,11,2,CN,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",150000,2724578,1964000,30401879
2561,11,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",10034789,222176056,145636478,3089848196
2561,11,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",120000,2160000,1248429,24928464
2561,11,2,LA,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",577070,10700641,3342087,56123153
2561,11,2,CN,10063030,006,KGM,"Glutinous rice 25 % (KGM)",328100,6316128,7166171,128116093
2561,11,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",168764,11584759,1948184,122538305
2561,11,2,HK,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,354096,7418768
2561,11,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",136022217,4997322029,1096173450,39421453151
2561,11,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",92690,3598202,5654510,191180676
