Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (May 2021)","FOB (BAHT)(May 2021)","Quantity (Jan - May 2021)","FOB (BAHT)(Jan - May 2021)"
2564,5,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",535546,18407342,3343931,111912416
2564,5,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",6060,233041,21120,717216
2564,5,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",103647,5411185,1536393,69774660
2564,5,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,5,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",267600,9341772,829582,28969002
2564,5,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",410065,8893396,3692146,80668696
2564,5,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,5,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",80,10671,81,11121
2564,5,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",26000,400632,294440,5692655
2564,5,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",458880,9941177,3566194,57008928
2564,5,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28160
2564,5,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",29000,1645962,149799,9241671
2564,5,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,11000,559070
2564,5,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",53,7340,53,7340
2564,5,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,5,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",824200,13110148,9831564,149197598
2564,5,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",48256,2157681,235139,10449160
2564,5,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",185750,6918128,3527251,65171642
2564,5,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",4400,234960,143040,8263264
2564,5,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",36032,2185181,300694,17355328
2564,5,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",119849,6051282,677317,34203798
2564,5,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",4368,390129,164846,11325126
2564,5,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",2480,202944,95478,6705053
2564,5,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",2000,110684,3000,166908
2564,5,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",22000,1125442,22000,1125442
2564,5,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",151462,5934454,698566,29775853
2564,5,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",263609,11229038,1280620,57913285
2564,5,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",35576,2182891,250065,14667747
2564,5,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",360,26084,90467,5444526
2564,5,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,5,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",62985,3860132,478724,28387375
2564,5,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",90743,5122250,441294,24820089
2564,5,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",4500,292800,9500,590284
2564,5,2,HK,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",3432,188665,41570,2036809
2564,5,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",840,57738,12624,836024
2564,5,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",1200,53203,12300,1081647
2564,5,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",2000,167421,16312,1746276
2564,5,2,SG,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,170,6712
2564,5,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",12582937,264118602,55574698,1286148439
2564,5,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,5,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,5,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",40245,736557,822145,19505870
2564,5,2,BE,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",2840,136062,4880,216263
2564,5,2,IT,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",10500,434597,10501,434985
2564,5,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",59642585,1763628235,405924317,11621631164
2564,5,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",0,0,306749,7890079
2564,5,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,86920,2107743
2564,5,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",1960,42537,112150,2818163
2564,5,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1551189,73332326,6822417,311221989
2564,5,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,2700,237083
2564,5,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",73247305,1129012262,359353560,5454670456
2564,5,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",169120,2873134,2525577,44414808
2564,5,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",4012500,63179556,33762226,489719467
2564,5,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",122400,2796824,615670,12226029
2564,5,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,1499050,19399320
2564,5,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",21664264,528370565,117727612,2732916485
2564,5,2,CA,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",735418,17704904,2896073,69098264
2564,5,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,1352300,33298378
2564,5,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",280585,6342160,1813304,39778631
2564,5,2,CM,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",260000,4163514,1267805,20851418
2564,5,2,AU,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",47129423,745877656,272591934,4230128496
2564,5,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",1000,21393,20000,379421
2564,5,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",44507715,684784524,209885517,3153869831
2564,5,2,AU,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",753000,11460778,3250800,49681361
2564,5,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",714205,14084485,4355899,81212693
2564,5,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",352239,6968037,1602658,31888265
2564,5,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",258552,3887818,258552,3887818
2564,5,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",200000,2852359,800000,11090742
2564,5,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",647000,12115381,3621000,66727459
2564,5,2,HK,10063099,090,KGM,"Other (KGM)",2451,605814,20024,4614924
2564,5,2,AE,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,2500,106125
2564,5,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",920178,22001902,3437408,83658604
2564,5,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",13835251,227649912,70481404,1081937231
2564,5,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",40000,2046257,40000,2046257
2564,5,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",44670,1688095,181978,7475350
2564,5,2,CH,10063099,604,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,380,27546
2564,5,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,7,143
2564,5,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,40000,809944
2564,5,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",442782,9551568,17513399,298511224
2564,5,2,HK,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",54500,1209475,601250,8766943
2564,5,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",8211574,118003011,82802087,1131703501
2564,5,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",8615605,112843959,32929618,421250062
2564,5,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",6400,143982,130616,2540447
2564,5,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",594449,9272857,59631198,797536757
2564,5,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",11584600,205371970,44049880,795995157
2564,5,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",0,0,276000,6475829
2564,5,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1837500,28929050,10647500,132709875
2564,5,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",500000,7440936,6136700,103386059
