Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2022)","FOB (BAHT)(Mar 2022)","Quantity (Jan - Mar 2022)","FOB (BAHT)(Jan - Mar 2022)"
2565,3,2,AO,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",896394,27760231,2553623,79241789
2565,3,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",4320,146115,8160,275513
2565,3,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",493904,22388340,1064789,49726755
2565,3,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",334500,11337262,426500,14511249
2565,3,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",462097,9845502,1404559,31067396
2565,3,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",856,83036,1356,130311
2565,3,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",17208,783161,16729290,203584328
2565,3,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",2137000,26585237,5556000,69759771
2565,3,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",487560,8028902,894860,15386820
2565,3,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",58000,2855692,104900,5658721
2565,3,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",900,48321,9380,479879
2565,3,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",749200,11122015,1197200,17755666
2565,3,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",45988,1903429,143011,5798677
2565,3,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",141290,4890778,420323,15043155
2565,3,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",16720,1015320,69120,3819265
2565,3,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",169215,8717222,382492,26099801
2565,3,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",185568,8163892,427664,20191539
2565,3,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",32120,2213462,103270,6654097
2565,3,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",4152,386069,50252,3661678
2565,3,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",9000,531311,14000,832046
2565,3,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",171830,6692542,561718,22254689
2565,3,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",213234,8152767,698995,27626938
2565,3,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",4600,410837,93600,5949396
2565,3,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",57600,3271820,70950,4124547
2565,3,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",126840,7158531,395156,21887733
2565,3,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",70459,3989477,396696,21856945
2565,3,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",11000,791136,12500,910289
2565,3,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",26730,1167776,54155,2447386
2565,3,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",6600,416599,12000,799172
2565,3,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",2400,123105,8400,827516
2565,3,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",4320,525783,10400,1293182
2565,3,2,KR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",3,256,8,756
2565,3,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",12718807,262743544,41387315,846586808
2565,3,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",261560,7744359,881390,17988643
2565,3,2,FR,10063030,500,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (Organic) (KGM)",11385,586415,11385,586415
2565,3,2,ES,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",250,18776,24252,487708
2565,3,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",140302585,3707924983,355449834,9436407969
2565,3,2,CI,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",1027518,24872593,1405318,34122312
2565,3,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",400000,9907166,660000,15169536
2565,3,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,19200,539520
2565,3,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1332599,59133779,3413329,153848263
2565,3,2,AE,10063070,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",28687470,661852435,79845875,1859741494
2565,3,2,FR,10063070,002,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",1008306,23297222,2874853,66009767
2565,3,2,AU,10063070,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",162400,3847879,231600,5353906
2565,3,2,AE,10063070,004,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",548961,11125950,1086575,22540751
2565,3,2,AE,10063070,501,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,3000,142938
2565,3,2,AU,10063070,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",401065,9526242,1381030,32501360
2565,3,2,CH,10063070,601,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",220,15451,220,15451
2565,3,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",99418385,1320951573,194046329,2544952270
2565,3,2,AO,10063091,002,KGM,"Parboiled rice 100%  (KGM)",345186,5024565,924482,15141133
2565,3,2,AL,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",16808000,210741339,21786000,272992426
2565,3,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",46000,845304,328732,5971230
2565,3,2,GR,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,2000,26260
2565,3,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",213947811,2889441242,482304955,6458169899
2565,3,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,19000,366091
2565,3,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",45886300,613290105,290713299,3820560490
2565,3,2,AU,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",565600,7614642,2382800,31765459
2565,3,2,PG,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",5129068,67406538,6679695,94185801
2565,3,2,EE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",35120,1257400,182355,6003561
2565,3,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",0,0,5955276,84962076
2565,3,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",627000,11414263,1681000,29959507
2565,3,2,GB,10063099,090,KGM,"Other (KGM)",2859,624210,9164,1979156
2565,3,2,BJ,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",23691367,337132166,42407690,621838080
