Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Nov 2019)","FOB (BAHT)(Nov 2019)","Quantity (Jan - Nov 2019)","FOB (BAHT)(Jan - Nov 2019)"
2562,11,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,7,128
2562,11,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",754225,30139900,8605459,343160801
2562,11,2,DE,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,6,618
2562,11,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",480,23411,67562,2840821
2562,11,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",288604,12575078,3272935,146521358
2562,11,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,38200,2104627
2562,11,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,949674,32257021
2562,11,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",909101,19690603,11833413,274867334
2562,11,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,43480,1105147
2562,11,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",0,0,89200,2971077
2562,11,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",1200,116695,8850,280130
2562,11,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",3176538,40045153,12272304,166071756
2562,11,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",233000,5510590,1039000,26980188
2562,11,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",0,0,380000,9480409
2562,11,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",3111240,42010446,11823809,180014100
2562,11,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",0,0,248244,16784912
2562,11,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",0,0,271946,17060518
2562,11,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",9474,566054,416111,27694829
2562,11,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",2401000,29749335,74817300,985090590
2562,11,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",80824,4028710,851244,43218035
2562,11,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",0,0,1821552,95607203
2562,11,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",0,0,4349482,238238341
2562,11,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",22608,1437612,2077406,121154893
2562,11,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",40410,2437900,355730,21369280
2562,11,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",109974,5996039,218275,11701727
2562,11,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",93357,6126051,207443,12887139
2562,11,2,DE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",0,0,14949,1387953
2562,11,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",6600,688552,14200,1172640
2562,11,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",121487,7512170,197482,12270493
2562,11,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",192654,11326000,456843,27828683
2562,11,2,CA,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",66000,3653917,66894,3710578
2562,11,2,ES,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",600,66000,5550,384818
2562,11,2,CA,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",1920,110183,1920,110183
2562,11,2,AU,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",124513,8092703,187531,12381921
2562,11,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",51364,3236420,147614,9070157
