Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jan 2021)","FOB (BAHT)(Jan 2021)","Quantity (Jan - Jan 2021)","FOB (BAHT)(Jan - Jan 2021)"
2564,1,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",787334,26078011,787334,26078011
2564,1,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",2040,95767,2040,95767
2564,1,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",58045,3177220,58045,3177220
2564,1,2,HK,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",4482,393558,4482,393558
2564,1,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",886232,19104321,886232,19104321
2564,1,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",114994,1979371,114994,1979371
2564,1,2,CA,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",300300,4910704,300300,4910704
2564,1,2,HK,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",44640,2277500,44640,2277500
2564,1,2,HK,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2500,133755,2500,133755
2564,1,2,GB,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1378650,20265763,1378650,20265763
2564,1,2,GU,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",44916,2107894,44916,2107894
2564,1,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",279521,8785707,279521,8785707
2564,1,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",20400,1152906,20400,1152906
2564,1,2,AU,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",85487,5258610,85487,5258610
2564,1,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",65396,3600315,65396,3600315
2564,1,2,HK,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",9503,593421,9503,593421
2564,1,2,IL,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",16146,1130248,16146,1130248
2564,1,2,CA,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",158900,6805728,158900,6805728
2564,1,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",185066,9196705,185066,9196705
2564,1,2,HK,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",20104,1498877,20104,1498877
2564,1,2,DE,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",26610,1545206,26610,1545206
2564,1,2,AU,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",76885,4963451,76885,4963451
2564,1,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",90656,4914332,90656,4914332
2564,1,2,HK,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",12610,635597,12610,635597
2564,1,2,HK,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",3000,283455,3000,283455
2564,1,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",12151512,275745479,12151512,275745479
2564,1,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",23170,556259,23170,556259
2564,1,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",287560,4714055,287560,4714055
2564,1,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",386355,10951499,386355,10951499
2564,1,2,IT,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",2040,80201,2040,80201
2564,1,2,KR,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",1,388,1,388
2564,1,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",96188708,2718813464,96188708,2718813464
2564,1,2,CL,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",5000,159462,5000,159462
2564,1,2,VN,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",6920,184136,6920,184136
2564,1,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",79145,2033410,79145,2033410
2564,1,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",836185,37058974,836185,37058974
2564,1,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",2700,237083,2700,237083
2564,1,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",105112211,1525704214,105112211,1525704214
2564,1,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",483000,8175288,483000,8175288
2564,1,2,BJ,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",11200000,157011450,11200000,157011450
2564,1,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",22962926,515510556,22962926,515510556
2564,1,2,CG,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",766509,15522759,766509,15522759
2564,1,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",150500,3763589,150500,3763589
2564,1,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",537924,11927913,537924,11927913
2564,1,2,LB,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",2,45,2,45
2564,1,2,AU,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",66429033,963364970,66429033,963364970
2564,1,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",46887711,663639293,46887711,663639293
2564,1,2,FJ,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",550200,7990416,550200,7990416
2564,1,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1106552,19757050,1106552,19757050
2564,1,2,AU,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",164783,3313789,164783,3313789
2564,1,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",200000,2682540,200000,2682540
2564,1,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",1135000,20499609,1135000,20499609
2564,1,2,HK,10063099,090,KGM,"Other (KGM)",5799,1305567,5799,1305567
2564,1,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",539960,13179510,539960,13179510
2564,1,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",37561742,561405712,37561742,561405712
2564,1,2,CL,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",40078,1843769,40078,1843769
2564,1,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",20000,399400,20000,399400
2564,1,2,BE,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",2194114,37309738,2194114,37309738
2564,1,2,HK,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",8500,132618,8500,132618
2564,1,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",19718485,259946103,19718485,259946103
2564,1,2,CN,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",4887345,55715913,4887345,55715913
2564,1,2,CG,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",10129794,132660869,10129794,132660869
2564,1,2,CN,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",1688100,31633821,1688100,31633821
2564,1,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",196000,4306371,196000,4306371
2564,1,2,LA,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2203000,31158065,2203000,31158065
2564,1,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",553000,9180249,553000,9180249
