Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Aug 2021)","FOB (BAHT)(Aug 2021)","Quantity (Jan - Aug 2021)","FOB (BAHT)(Jan - Aug 2021)"
2564,8,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,2,1355
2564,8,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",542555,17802774,5299445,176265386
2564,8,2,US,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",735,25380,735,25380
2564,8,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1500,47162,26700,925569
2564,8,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",163137,8499417,2105774,96670025
2564,8,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,8,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,829582,28969002
2564,8,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1091880,24047895,5762713,128184828
2564,8,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,8,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,81,11277
2564,8,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",14512832,225130810,14875480,232300133
2564,8,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,15549000,231070618
2564,8,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",441608,8560136,4789978,82664085
2564,8,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28186
2564,8,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",12320,903709,189585,11871281
2564,8,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,80
2564,8,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2000,116218,23669,1208577
2564,8,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,363,56940
2564,8,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
