Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Sept 2021)","FOB (BAHT)(Sept 2021)","Quantity (Jan - Sept 2021)","FOB (BAHT)(Jan - Sept 2021)"
2564,9,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",5,38,7,1393
2564,9,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",670196,21652930,5969641,197918316
2564,9,2,US,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,735,25380
2564,9,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3960,145165,30660,1070734
2564,9,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",120976,6609919,2226750,103279944
2564,9,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,9,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,829582,28969002
2564,9,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",480641,11449204,6243354,139634032
2564,9,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,9,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,81,11277
2564,9,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",77812,2551023,14953292,234851156
2564,9,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,15549000,231070618
2564,9,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",284854,6711164,5074832,89375249
2564,9,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28186
2564,9,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",1148100,20785190,1337685,32656471
2564,9,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,80
2564,9,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",1000,58934,24669,1267511
2564,9,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,363,56940
2564,9,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,9,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",100000,1285887,13319624,197780330
2564,9,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",81144,3267293,398751,17427591
2564,9,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",150200,4958692,4294900,92265005
2564,9,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",42600,2274840,330080,18252966
2564,9,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",37700,2629906,426528,25500534
2564,9,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",130157,7018259,1138550,59465928
2564,9,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",29724,2698828,217502,15633600
2564,9,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",2004,240675,104802,7648838
2564,9,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",8000,512409,17000,1041151
2564,9,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",0,0,44000,2233589
2564,9,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",162991,7638265,1220658,53245035
2564,9,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",130621,6101687,2065822,92029194
2564,9,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",11104,812782,281925,17160151
2564,9,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",22381,1335474,122183,7423751
2564,9,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,9,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",94460,5426174,876026,50993749
2564,9,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",120326,7422821,693736,40370821
2564,9,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,13500,903769
2564,9,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",5050,284227,95464,4687279
2564,9,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",600,43561,17064,1156571
2564,9,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",0,0,22000,1910508
2564,9,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",11600,1174049,37072,3909543
