Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Aug 2022)","FOB (BAHT)(Aug 2022)","Quantity (Jan - Aug 2022)","FOB (BAHT)(Jan - Aug 2022)"
2565,8,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",439129,16712734,5803147,192816104
2565,8,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",840,30151,25080,987750
2565,8,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",276322,12595589,2413827,111631296
2565,8,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",2,1093,96002,4033093
2565,8,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",111500,3846711,1095500,37591652
2565,8,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",446102,12969460,5032477,121905606
2565,8,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",1,36,1357,130347
2565,8,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",0,0,16794020,205467760
2565,8,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,5556000,69759771
2565,8,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",345360,6431887,2128156,38802057
2565,8,2,CA,10062090,019,KGM,"Other husked rice (cargo rice) 100 % Grade C (KGM)",0,0,21000,423351
2565,8,2,SE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,414,38194
2565,8,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",170700,6259747,485400,22167134
2565,8,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2000,122437,20500,1165389
2565,8,2,US,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",346,31200,346,31200
2565,8,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",2275000,35848497,11755236,169195089
