Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Apr 2022)","FOB (BAHT)(Apr 2022)","Quantity (Jan - Apr 2022)","FOB (BAHT)(Jan - Apr 2022)"
2565,4,2,AO,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",731582,23124549,3285205,102366338
2565,4,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",8040,252486,16200,527999
2565,4,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",108898,5202236,1173687,54928991
2565,4,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,426500,14511249
2565,4,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",599524,14907250,2004083,45974646
2565,4,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1356,130311
2565,4,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",47522,1046108,16776812,204630436
2565,4,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,5556000,69759771
2565,4,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",181280,3020897,1076140,18407717
2565,4,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",27580,2619192,132480,8277913
2565,4,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2300,128489,11680,608368
2565,4,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",4421000,58507202,5618200,76262868
2565,4,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",42238,1695754,185249,7494431
2565,4,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",188965,5901196,609288,20944351
2565,4,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",16000,854400,85120,4673665
2565,4,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",29246,2268141,411738,28367942
2565,4,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",147165,8589360,574829,28780899
2565,4,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",31180,2341769,134450,8995866
2565,4,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",600,42696,50852,3704374
2565,4,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,14000,832046
2565,4,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",130120,5318018,691838,27572707
2565,4,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",198156,7870780,897151,35497718
2565,4,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",15500,1056357,109100,7005753
2565,4,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",20840,981427,91790,5105974
2565,4,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",83110,4688755,478266,26576488
2565,4,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",34253,1826634,430949,23683579
2565,4,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,12500,910289
2565,4,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",600,28152,54755,2475538
2565,4,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",1800,117794,13800,916966
2565,4,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",2400,295282,10800,1122798
2565,4,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",5220,622247,15620,1915429
2565,4,2,KR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,166,8,922
2565,4,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",11761626,249857602,53148941,1096444410
2565,4,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",536900,14404879,1418290,32393522
2565,4,2,FR,10063030,500,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (Organic) (KGM)",0,0,11385,586415
2565,4,2,ES,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",1001203,16793704,1025455,17281412
2565,4,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",147259625,3928957429,502709459,13365365398
2565,4,2,CI,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",0,0,1405318,34122312
2565,4,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",400000,10321576,1060000,25491112
2565,4,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,19200,539520
2565,4,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1934812,87717919,5348141,241566182
