Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2018)","FOB (BAHT)(Oct 2018)","Quantity (Jan - Oct 2018)","FOB (BAHT)(Jan - Oct 2018)"
2561,10,2,BO,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,51,3289
2561,10,2,CA,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,11474,2015135
2561,10,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1196173,43968285,13809054,468139419
2561,10,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",5000,215638,8000,392037
2561,10,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",5528,227635,257144,8891288
2561,10,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",489207,21062872,3570541,152742449
2561,10,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,31480,1685460
2561,10,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,1003040,34221221
2561,10,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1196347,22199125,8693047,202464057
2561,10,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,1550,99364
2561,10,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",46,4519,44431,839336
2561,10,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",61998,845153,13720403,176622577
2561,10,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",10255000,130214052,21724000,297621071
2561,10,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",891951,16769856,8183973,153059524
2561,10,2,AU,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",39362,2625800,292971,20780476
2561,10,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",0,0,428497,23396606
2561,10,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",69124,3788139,420920,22153682
