Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jan 2022)","FOB (BAHT)(Jan 2022)","Quantity (Jan - Jan 2022)","FOB (BAHT)(Jan - Jan 2022)"
2565,1,2,AU,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",756414,23423995,756414,23423995
2565,1,2,TT,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",3000,107753,3000,107753
2565,1,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",205585,10542271,205585,10542271
2565,1,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",46000,1586998,46000,1586998
2565,1,2,CN,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",481684,11001184,481684,11001184
2565,1,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",46082,970350,46082,970350
2565,1,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",83000,1988800,83000,1988800
2565,1,2,HK,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",6980,518380,6980,518380
2565,1,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",6200,341751,6200,341751
2565,1,2,GB,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",292500,4531773,292500,4531773
2565,1,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",40589,1743520,40589,1743520
2565,1,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",127223,5066254,127223,5066254
2565,1,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",27000,1447585,27000,1447585
2565,1,2,AU,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",47812,4132520,47812,4132520
2565,1,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",101072,5105306,101072,5105306
2565,1,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",7200,512195,7200,512195
2565,1,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",12000,912002,12000,912002
2565,1,2,NZ,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",1000,61773,1000,61773
2565,1,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",126186,5215924,126186,5215924
2565,1,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",194483,7498272,194483,7498272
2565,1,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",26000,1558814,26000,1558814
2565,1,2,CA,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",153172,7766407,153172,7766407
2565,1,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",184010,9890193,184010,9890193
2565,1,2,IL,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",24000,1079529,24000,1079529
2565,1,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",5400,382573,5400,382573
2565,1,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",6080,767399,6080,767399
2565,1,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",15009251,299101642,15009251,299101642
2565,1,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",406810,6621217,406810,6621217
2565,1,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",104551764,2789266044,104551764,2789266044
2565,1,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",260000,5262370,260000,5262370
2565,1,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",19200,539520,19200,539520
