Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Oct 2019)","FOB (BAHT)(Oct 2019)","Quantity (Jan - Oct 2019)","FOB (BAHT)(Jan - Oct 2019)"
2562,10,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,7,128
2562,10,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",626631,25222506,7851234,313020901
2562,10,2,DE,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,6,618
2562,10,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",0,0,67082,2817410
2562,10,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",171804,7857148,2984331,133946280
2562,10,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",6500,342344,38200,2104627
2562,10,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",50340,1911410,949674,32257021
2562,10,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",2179254,48557151,10924312,255176731
2562,10,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,43480,1105147
2562,10,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",0,0,89200,2971077
2562,10,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,7650,163435
2562,10,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",2000,34204,9095766,126026603
2562,10,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",38000,920181,806000,21469598
2562,10,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",0,0,380000,9480409
2562,10,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1607620,22145355,8712569,138003654
2562,10,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",0,0,248244,16784912
2562,10,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",0,0,271946,17060518
2562,10,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",62355,4260204,406637,27128775
2562,10,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",6743000,87092933,72416300,955341255
2562,10,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",75382,4022090,770420,39189325
2562,10,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",0,0,1821552,95607203
2562,10,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",0,0,4349482,238238341
2562,10,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",82934,4359889,2054798,119717281
2562,10,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",40600,2436000,315320,18931380
2562,10,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",108301,5705688,108301,5705688
2562,10,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",114086,6761088,114086,6761088
2562,10,2,DE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",14949,1387953,14949,1387953
2562,10,2,HK,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",7600,484088,7600,484088
2562,10,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",75995,4758323,75995,4758323
2562,10,2,CA,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",264189,16502683,264189,16502683
2562,10,2,HK,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",894,56661,894,56661
2562,10,2,NZ,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",4950,318818,4950,318818
2562,10,2,AU,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",63018,4289218,63018,4289218
2562,10,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",96250,5833737,96250,5833737
2562,10,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",8016,474019,8016,474019
2562,10,2,HK,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",2508,235382,2508,235382
2562,10,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",2160,196144,2160,196144
2562,10,2,LA,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",2,726,243085,5129698
2562,10,2,MM,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",0,0,60000,720005
2562,10,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",3339814,127075305,70053864,1855816117
2562,10,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,753525,17640809
2562,10,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,563500,9073010
2562,10,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",85485,2054447,2282875,48389719
2562,10,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",0,0,966687,61919983
2562,10,2,CH,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",840,50975,226136,4610028
2562,10,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",83028488,3132040095,847585278,31441607136
2562,10,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",855200,28834465,2399667,84507739
2562,10,2,DE,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",20000,908073,1458451,43934484
2562,10,2,PH,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,116240,3989825
2562,10,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",777924,36449307,8333188,393700312
2562,10,2,HK,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,44985,2522973
2562,10,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,3018,282379
2562,10,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",180503350,2279752401,1636356624,20278103925
2562,10,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",2690650,36473341,23543416,319740028
2562,10,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",13246556,159434650,261474195,3166150572
2562,10,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",179837,3085397,6003017,77241083
2562,10,2,ES,10063091,005,KGM,"Parboiled rice 10% Sortexed (KGM)",0,0,385000,5169719
2562,10,2,RU,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,950000,11411137
2562,10,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",260000,3029937,7890510,90553413
2562,10,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",29389092,738757509,270116057,6854649039
2562,10,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",281579,7365919,3394952,98166436
2562,10,2,GB,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,420000,5661156
2562,10,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",360000,7834854,3758725,83469384
2562,10,2,AO,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",4000,58722,2680014,36192804
2562,10,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",37581921,495146052,393371343,5250072293
2562,10,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",20000,293610,678638,11063579
2562,10,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",124554835,1561115066,1340762763,16920120832
2562,10,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",2707400,39840566,15899080,224009392
2562,10,2,AU,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",1079351,14900301,27802655,360360733
2562,10,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",64138,1721757,585979,17962279
2562,10,2,US,10063099,016,KGM,"White non-glutinous rice of Basmati rice (as sample) (KGM)",0,0,1800,170460
2562,10,2,CD,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",380986,4750005,157445294,1894493260
2562,10,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",564000,10687813,8792976,164057582
2562,10,2,AE,10063099,090,KGM,"Other (KGM)",2643,530508,25443,4515730
2562,10,2,US,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",20929,937565,125320,5735166
2562,10,2,AO,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",476200,14845098,4583749,142612075
2562,10,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",59710812,765060015,634737630,7964837022
2562,10,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",31740,1372155,432548,20892253
2562,10,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",99002,509529,99007,509564
2562,10,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",821606,18903393,10753489,249493558
2562,10,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",183493,2383331,1820695,26253078
2562,10,2,AT,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",9511307,151319821,250342873,3725719099
2562,10,2,AU,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",15131292,171023161,135826278,1505715070
2562,10,2,CI,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",118744,1933665,5088099,102561746
2562,10,2,AU,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",22289686,318110147,146377242,2106442914
2562,10,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",23000,344614,92000,1374984
2562,10,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",1041040,25922027,68577440,1321915477
2562,10,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",20000,472198,379940,9261556
2562,10,2,CM,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1823000,23772625,25259225,340106585
2562,10,2,BE,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",1189010,16923666,34134652,489511005
2562,10,2,DE,10064090,608,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (Organic) (KGM)",0,0,6,474
2562,10,2,NL,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,39060,788212
