Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (May 2022)","FOB (BAHT)(May 2022)","Quantity (Jan - May 2022)","FOB (BAHT)(Jan - May 2022)"
2565,5,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",782158,26631058,4067363,128997396
2565,5,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1200,44412,17400,572411
2565,5,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",192727,9467434,1366414,64396425
2565,5,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",96000,4032000,96000,4032000
2565,5,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",111500,3846728,538000,18357977
2565,5,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1286931,29066056,3291014,75040702
2565,5,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1356,130311
2565,5,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",0,0,16776812,204630436
2565,5,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,5556000,69759771
2565,5,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",75560,1639959,1151700,20047676
2565,5,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",68160,2476165,200640,10754078
2565,5,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",3120,220652,14800,829020
2565,5,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1914000,24369976,7532200,100632844
2565,5,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",34225,1612403,219474,9106834
2565,5,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",109048,4760503,718336,25704854
2565,5,2,HK,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",14480,774882,99600,5448547
2565,5,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",226952,11058153,638690,39426095
2565,5,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",71459,3817486,646288,32598385
2565,5,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",9920,649931,144370,9645797
2565,5,2,CA,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",7528,695542,58380,4399916
2565,5,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",0,0,14000,832046
2565,5,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",152967,6456492,844805,34029199
2565,5,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",249295,10654110,1146446,46151828
2565,5,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",9640,694410,118740,7700163
2565,5,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",26970,1761613,118760,6867587
2565,5,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",95479,5336315,573745,31912803
2565,5,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",108812,6245884,539761,29929463
2565,5,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",0,0,12500,910289
2565,5,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",6882,409217,61637,2884755
2565,5,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",8880,586008,22680,1502974
2565,5,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",5000,658472,15800,1781270
2565,5,2,HK,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",2000,184212,17620,2099641
2565,5,2,KR,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,8,922
2565,5,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",16244142,336718295,69393083,1433162705
2565,5,2,FR,10063030,006,KGM,"Glutinous rice 25 % (KGM)",477735,8295080,1896025,40688602
2565,5,2,FR,10063030,500,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (Organic) (KGM)",0,0,11385,586415
2565,5,2,ES,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,1025455,17281412
2565,5,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",88774771,2642277193,591484230,16007642591
2565,5,2,CI,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",100000,2210538,1505318,36332850
2565,5,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",108690,2839487,1168690,28330599
2565,5,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",20000,575240,39200,1114760
2565,5,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1121234,50720170,6469375,292286352
2565,5,2,AE,10063070,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",26882126,702548264,140408591,3351420133
2565,5,2,FR,10063070,002,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",151496,4042798,3484397,81741525
2565,5,2,AU,10063070,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",370000,9200662,834600,20287964
2565,5,2,AE,10063070,004,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",542597,11195970,2080091,42970105
2565,5,2,AE,10063070,501,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,3000,142938
2565,5,2,AU,10063070,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",1229135,32860900,3224245,82340604
2565,5,2,CH,10063070,601,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,220,15451
2565,5,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",124928785,1727950185,402891925,5399000475
2565,5,2,AO,10063091,002,KGM,"Parboiled rice 100%  (KGM)",191014,3038553,1467720,23948656
2565,5,2,AL,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",1442000,19743554,33445000,419331574
2565,5,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",45000,721774,459732,8213973
2565,5,2,GR,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,2000,26260
2565,5,2,GH,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",144000,2973374,144000,2973374
2565,5,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",33464438,474816212,650247191,8720071115
2565,5,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,39000,755145
2565,5,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",39399531,559454849,354499970,4724386546
2565,5,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",1395400,20954654,4128200,57385438
2565,5,2,PG,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",3606389,49605078,11051934,156705427
2565,5,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",61773,1902253,314684,10707024
2565,5,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",263088,3727309,6218364,88689385
