Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Dec 2020)","FOB (BAHT)(Dec 2020)","Quantity (Jan - Dec 2020)","FOB (BAHT)(Jan - Dec 2020)"
2563,12,2,LU,10061010,002,KGM,"Glutinous rice in the husk (KGM)",0,0,0,31
2563,12,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,57,24318
2563,12,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",745935,25769961,10575035,408792792
2563,12,2,GB,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,9000,513951
2563,12,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",840,36109,52260,2125948
2563,12,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,12,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",270715,12650394,4805506,232656079
2563,12,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,12,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,887152,30556127
2563,12,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1846900,35325030,16557836,355263050
2563,12,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,69996,1806642
2563,12,2,SG,10062090,005,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 %  (KGM)",0,0,1250,68998
2563,12,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1214,117081
2563,12,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",5448,97953,11615128,166702855
2563,12,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,25166000,336657694
2563,12,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",0,0,133000,3679272
2563,12,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",330720,6954037,31785968,474888301
