Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Feb 2018)","FOB (BAHT)(Feb 2018)","Quantity (Jan - Feb 2018)","FOB (BAHT)(Jan - Feb 2018)"
2561,2,2,CN,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",11,344,19,548
2561,2,2,HK,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",2864,493291,6003,1063211
2561,2,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1259627,40726702,3322112,103012980
2561,2,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",27708,727636,60300,2164854
2561,2,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",240978,9629106,590304,24601155
2561,2,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",5000,248282,14000,785836
2561,2,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",312200,10717717,535200,18411189
2561,2,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",645217,14686209,1739627,38110666
2561,2,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,250,16231
2561,2,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",30,2686,78,7100
2561,2,2,UA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",75000,983802,75000,983802
2561,2,2,US,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",38000,1117030,38000,1117030
2561,2,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",368080,7711330,1754790,32925843
2561,2,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",36922,2263786,48786,5621427
2561,2,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",25758,1382032,49860,2889712
2561,2,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",4066,229144,49826,3258722
2561,2,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",5820000,81434980,12215000,170441165
2561,2,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",72388,3200072,132676,5599279
2561,2,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",164307,8808652,258685,13247110
2561,2,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",665610,21150219,1289129,41203301
2561,2,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",169797,6914526,262343,11011404
2561,2,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",22000,2637549,62800,5085549
2561,2,2,IS,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",15,381,15,381
2561,2,2,ID,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",267000,3839594,757000,12330666
2561,2,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",25448822,533545500,55899285,1141788937
2561,2,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",24686,550057,387087,7975938
2561,2,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",277677,4568692,790707,13031989
2561,2,2,ID,10063030,006,KGM,"Glutinous rice 25 % (KGM)",334045,5938031,2261096,38575842
2561,2,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",262044,15466758,524888,29971012
2561,2,2,MY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",46000,799684,69000,1210316
2561,2,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",109378392,3586935943,230913938,7506318627
2561,2,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",764348,21963787,1421603,41335914
2561,2,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",599500,16637750,1118310,30942741
2561,2,2,DE,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",128070,3845646,358660,10375241
2561,2,2,AU,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1140512,50103628,1853479,82038950
2561,2,2,HK,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",5000,258317,5000,258317
2561,2,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",199248994,2482647175,411410053,5299635892
2561,2,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",2158006,30778949,7657822,105960366
2561,2,2,AO,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",34021588,443451662,86379088,1135185764
2561,2,2,BD,10063091,004,KGM,"Parboiled rice 5%  (KGM)",86000,1126196,15485000,195996688
2561,2,2,ES,10063091,005,KGM,"Parboiled rice 10% Sortexed (KGM)",1280000,17689474,2710000,36628520
2561,2,2,RU,10063091,007,KGM,"Parboiled rice 15% (KGM)",2497000,31621700,3997000,51039237
2561,2,2,BD,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",7447500,93340332,26954300,331998475
2561,2,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",17385528,434824292,29822887,740810223
2561,2,2,AU,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",244939,6594722,360883,9761373
2561,2,2,FR,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",0,0,7200,165941
2561,2,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",858568,19045688,1360132,29216844
2561,2,2,AU,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",2577076,38203692,4122076,61539903
2561,2,2,AM,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",11490735,198311759,57210092,838186355
2561,2,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",199375,3278377,291375,4792358
2561,2,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",241291373,3163469158,480708441,6221283290
2561,2,2,FJ,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",556000,7306781,1281000,16203530
2561,2,2,AE,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",15572851,211437656,19965243,268870754
2561,2,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",54793,1828367,68656,2678140
2561,2,2,BJ,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",7724544,88916306,14972499,175074014
2561,2,2,ZA,10063099,020,KGM,"White non-glutinous rice 35 % (KGM)",52000,641644,52000,641644
2561,2,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",1044000,18845345,2484000,44656028
2561,2,2,AE,10063099,090,KGM,"Other (KGM)",85,6439,109,6911
2561,2,2,FR,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",241769,7149531,834752,24168524
2561,2,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",156759308,1902379506,281311003,3429583930
2561,2,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",29700,1131979,56925,2131300
2561,2,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",46,15498,47,15530
2561,2,2,NL,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",0,0,24024,481163
2561,2,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",12272493,178084089,19017855,292087935
2561,2,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",52000,838089,206993,3307667
2561,2,2,AO,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",21294512,281387884,34995690,461759431
2561,2,2,AU,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",30396888,336404701,44607226,495572396
2561,2,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",5600,122702,29450,579477
2561,2,2,CG,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",18104003,225876907,20947405,263260857
2561,2,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",23000,327144,283000,3196696
2561,2,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",15020560,216130328,27573060,393270725
2561,2,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",20000,587911,40000,1191686
2561,2,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",3287009,31728748,6446009,79591006
2561,2,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",1100000,13433442,2550000,31595371
