Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jul 2021)","FOB (BAHT)(Jul 2021)","Quantity (Jan - Jul 2021)","FOB (BAHT)(Jan - Jul 2021)"
2564,7,2,CN,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,2,1355
2564,7,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",844347,27534833,4756890,158462612
2564,7,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",1080,35985,25200,878407
2564,7,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",350326,15247361,1942637,88170608
2564,7,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,216000,8910000
2564,7,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,829582,28969002
2564,7,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",556963,13063493,4670833,104136933
2564,7,2,SG,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,11,1080
2564,7,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,81,11277
2564,7,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",25000,320680,362648,7169323
2564,7,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",15549000,231070618,15549000,231070618
2564,7,2,BE,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",436336,9829770,4348370,74103949
2564,7,2,DE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,188,28186
2564,7,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",14956,1087216,177265,10967572
2564,7,2,CA,10062090,505,KGM,"Husked rice, n.e.s. (Organic) (KGM)",0,0,2,80
2564,7,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",3600,201042,21669,1092359
2564,7,2,CA,10062090,507,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (Organic) (KGM)",0,0,363,56940
2564,7,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",0,0,900,64259
2564,7,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1131560,15953519,11442124,172465367
2564,7,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",22685,974006,296591,13149306
2564,7,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",216550,7911654,3885550,78344871
2564,7,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",65000,3471000,230800,12951414
2564,7,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",57557,3154787,380408,22252750
2564,7,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",129922,6571465,900313,45463686
2564,7,2,AE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",2800,276036,175378,12103995
2564,7,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",600,44902,97458,6920204
2564,7,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",2000,121389,9000,528742
2564,7,2,NL,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",22000,1108147,44000,2233589
2564,7,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",119106,4972483,965267,41600427
2564,7,2,AU,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",219328,9321130,1670497,74543784
2564,7,2,AE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",16464,1311014,268261,16123574
2564,7,2,CH,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",2055,149352,98432,5985744
2564,7,2,SG,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",0,0,3000,187422
2564,7,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",91556,5031339,662559,38689088
2564,7,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",38433,2508159,524840,30049715
2564,7,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",4000,313485,13500,903769
2564,7,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",4080,220362,86390,4196780
2564,7,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",0,0,12864,852603
2564,7,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",3600,176265,22000,1910508
2564,7,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",6760,778267,23072,2524543
2564,7,2,SG,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,170,6712
2564,7,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",5651380,129150355,70266032,1609856690
2564,7,2,VN,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",0,0,23170,556259
2564,7,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,287560,4714055
2564,7,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",335180,7963702,1409920,33934171
2564,7,2,BE,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",1440,112630,6320,328893
2564,7,2,CA,10063030,602,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (Organic) (KGM)",0,0,10502,435025
2564,7,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",72342252,2075781201,538009542,15438232675
2564,7,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",67915,1978731,742579,18845180
2564,7,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",0,0,86920,2107743
2564,7,2,GB,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",24100,653935,159290,4162376
2564,7,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1220149,58907281,9096643,420489742
2564,7,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,2700,237083
2564,7,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",144300816,2102332730,577161617,8612916650
2564,7,2,AU,10063091,002,KGM,"Parboiled rice 100%  (KGM)",154200,2843556,4028623,67434565
2564,7,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",29926000,426331163,72735934,1048057652
2564,7,2,AU,10063091,004,KGM,"Parboiled rice 5%  (KGM)",9375,200048,860985,17257360
2564,7,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",0,0,1499050,19399320
2564,7,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",18251481,436119682,155654008,3647547050
2564,7,2,CA,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",902056,19996897,4291392,100531293
2564,7,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",30000,390007,1382300,33688385
2564,7,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",324096,7237164,2473616,54749787
2564,7,2,CM,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",3,32,1758409,28401215
2564,7,2,AM,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",18051704,289438604,358687649,5627442776
2564,7,2,KR,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",0,0,20000,379421
2564,7,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",59734515,863450349,358969099,5382299651
2564,7,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",1076200,15790169,6121000,92480147
2564,7,2,HK,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",962787,17576251,5994924,111562683
2564,7,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",13716,421552,1660377,33896720
2564,7,2,GA,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",630000,9027233,888552,12915051
2564,7,2,ZA,10063099,022,KGM,"White non-glutinous rice 45 % (KGM)",200000,2565444,1000000,13656186
2564,7,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",733000,13373128,5277000,97175042
2564,7,2,CA,10063099,090,KGM,"Other (KGM)",1651,373890,23782,5346123
2564,7,2,AE,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",0,0,10495,541986
2564,7,2,AU,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",1082824,22569332,4913227,115847989
2564,7,2,AU,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",6228100,102600304,96562012,1498461601
2564,7,2,AU,10063099,602,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (Organic) (KGM)",0,0,40000,2046257
2564,7,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",44380,1906686,253938,10630474
2564,7,2,CH,10063099,604,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (Organic) (KGM)",0,0,380,27546
2564,7,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",0,0,18,174
2564,7,2,GB,10064090,001,KGM,"Husked rice (cargo rice), broken (as sample) (KGM)",20000,419231,60000,1229175
2564,7,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",524712,10699470,18450265,318034770
2564,7,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",42750,857311,682993,10233990
2564,7,2,AE,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",4942994,71117897,93627375,1289344925
2564,7,2,CA,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",7125495,86036888,50898408,648394432
2564,7,2,DE,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",25000,531860,207856,4012698
2564,7,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",17775592,215537768,78194902,1024798171
2564,7,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",2873620,46826017,55236580,990602048
2564,7,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",80000,1952240,456000,11168890
2564,7,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1773000,30944460,14347500,191613428
2564,7,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",2160000,29793563,9766700,152679945
