Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jun 2022)","FOB (BAHT)(Jun 2022)","Quantity (Jan - Jun 2022)","FOB (BAHT)(Jan - Jun 2022)"
2565,6,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",742841,25859850,4810204,154857246
2565,6,2,HK,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",480,15745,17880,588156
2565,6,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",408661,18907890,1775075,83304315
2565,6,2,IT,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,96000,4032000
2565,6,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",223000,7693478,761000,26051455
2565,6,2,CA,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",510681,13787408,3801695,88828110
2565,6,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1356,130311
2565,6,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",17208,837324,16794020,205467760
2565,6,2,KR,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,5556000,69759771
2565,6,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",346648,6472016,1498348,26519692
2565,6,2,CA,10062090,019,KGM,"Other husked rice (cargo rice) 100 % Grade C (KGM)",21000,423351,21000,423351
2565,6,2,SE,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",414,38194,414,38194
2565,6,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",94920,3951167,295560,14705245
2565,6,2,AE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",2700,154990,17500,984010
2565,6,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",1346500,23098103,8878700,123730947
2565,6,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",51324,2206746,270798,11313580
2565,6,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",1119641,24764451,1837977,50469305
