Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Nov 2020)","FOB (BAHT)(Nov 2020)","Quantity (Jan - Nov 2020)","FOB (BAHT)(Jan - Nov 2020)"
2563,11,2,AE,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",14078300,181722483,67505915,847518688
2563,11,2,BJ,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",342993,4752586,1210513,20107327
2563,11,2,BJ,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",5052895,67902942,114945547,1585933154
2563,11,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,69000,1134730
2563,11,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",15471960,302119486,101949670,2644631218
2563,11,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",0,0,492000,12369731
2563,11,2,FR,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",1694000,26309845,17670540,273894585
2563,11,2,CN,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",3553000,61376298,20177000,374578124
2563,11,2,CA,10064090,603,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",0,0,1,31
2563,11,2,SG,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",0,0,5000,141892
2563,11,2,US,10064090,605,KGM,"Broken non-glutinous rice, n.e.s (as sample) (Organic) (KGM)",0,0,57000,1707837
2563,11,2,CN,10064090,606,KGM,"Broken rice parboiled, n.e.s. (as sample) (Organic) (KGM)",0,0,500000,5833657
2563,11,2,US,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,95000,1925345
