Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Jan 2018)","FOB (BAHT)(Jan 2018)","Quantity (Jan - Jan 2018)","FOB (BAHT)(Jan - Jan 2018)"
2561,1,2,CN,10061010,001,KGM,"Non-glutinous rice in the husk (KGM)",8,204,8,204
2561,1,2,HK,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",3139,569920,3139,569920
2561,1,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",2062485,62286278,2062485,62286278
2561,1,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",32592,1437218,32592,1437218
2561,1,2,CA,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",349326,14972049,349326,14972049
2561,1,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",9000,537554,9000,537554
2561,1,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",223000,7693472,223000,7693472
2561,1,2,GP,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1094410,23424457,1094410,23424457
2561,1,2,HK,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",250,16231,250,16231
2561,1,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",48,4414,48,4414
2561,1,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1386710,25214513,1386710,25214513
2561,1,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",11864,3357641,11864,3357641
2561,1,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",24102,1507680,24102,1507680
2561,1,2,CA,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",45760,3029578,45760,3029578
2561,1,2,BE,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",6395000,89006185,6395000,89006185
2561,1,2,CO,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",60288,2399207,60288,2399207
2561,1,2,AU,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",94378,4438458,94378,4438458
2561,1,2,AU,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",623519,20053082,623519,20053082
2561,1,2,GB,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",92546,4096878,92546,4096878
2561,1,2,SG,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",40800,2448000,40800,2448000
2561,1,2,ID,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",490000,8491072,490000,8491072
2561,1,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",30450463,608243437,30450463,608243437
2561,1,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",362401,7425881,362401,7425881
2561,1,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",513030,8463297,513030,8463297
2561,1,2,ID,10063030,006,KGM,"Glutinous rice 25 % (KGM)",1927051,32637811,1927051,32637811
2561,1,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",262844,14504254,262844,14504254
2561,1,2,MY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",23000,410632,23000,410632
2561,1,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",121535546,3919382684,121535546,3919382684
2561,1,2,AU,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",657255,19372127,657255,19372127
2561,1,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",518810,14304991,518810,14304991
2561,1,2,DE,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",230590,6529595,230590,6529595
