Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Mar 2019)","FOB (BAHT)(Mar 2019)","Quantity (Jan - Mar 2019)","FOB (BAHT)(Jan - Mar 2019)"
2562,3,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,4,97
2562,3,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",681822,26317343,2252768,88790099
2562,3,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",13240,519433,20832,834303
2562,3,2,AU,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",499748,21818578,915784,40337280
2562,3,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",3500,188386,15000,862479
2562,3,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",177990,5928466,356350,11869288
2562,3,2,AU,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1623495,37063739,3554702,83362937
2562,3,2,ES,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,480,28259
2562,3,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",0,0,89200,2971077
2562,3,2,DE,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",10,1082,78,7853
2562,3,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",391777,10347876,5453044,76728797
2562,3,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",95000,2718299,388000,10602899
2562,3,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",266836,4808808,2652110,41929781
2562,3,2,CA,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",34628,2363432,65762,4516886
2562,3,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",35513,2047310,146524,8784170
