Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Dec 2019)","FOB (BAHT)(Dec 2019)","Quantity (Jan - Dec 2019)","FOB (BAHT)(Jan - Dec 2019)"
2562,12,2,CA,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",15324,1128868,82218,4839446
2562,12,2,ES,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",4550,299674,10100,684492
2562,12,2,CA,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,1920,110183
2562,12,2,AU,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",118480,8262085,306011,20644006
2562,12,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",69227,4309346,216841,13379503
2562,12,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",5000,370326,5000,370326
2562,12,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",12540,664133,26076,1449061
2562,12,2,HK,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",5016,418812,10548,907331
2562,12,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",7382,693564,10662,981479
2562,12,2,LA,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,273085,6037498
2562,12,2,MM,10063030,002,KGM,"Glutinous rice 5 %  (as sample) (KGM)",0,0,60000,720005
2562,12,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",8832215,298483697,86409368,2422549641
2562,12,2,LA,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",32090,968660,785615,18609469
2562,12,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",60760,1000448,639940,10332300
2562,12,2,LA,10063030,006,KGM,"Glutinous rice 25 % (KGM)",226410,6841200,2680480,60305428
2562,12,2,AE,10063030,600,KGM,"Black Glutinous rice (as sample) (KGM)",0,0,966687,61919983
2562,12,2,CH,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",0,0,226136,4610028
2562,12,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",120527505,4196806079,1090037747,40029168305
2562,12,2,CA,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",93000,3428431,3373467,117326998
2562,12,2,DE,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",5000,162949,1463451,44097433
2562,12,2,PH,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,116240,3989825
2562,12,2,AT,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",821667,38428350,9868590,464838653
2562,12,2,HK,10063040,505,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,44985,2522973
2562,12,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,3018,282379
2562,12,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",57487790,704567019,1826326958,22602922763
2562,12,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",2559566,32984334,28772590,387681612
2562,12,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",5020576,59647264,271733698,3289283742
2562,12,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",112040,1412027,6248053,80652290
2562,12,2,ES,10063091,005,KGM,"Parboiled rice 10% Sortexed (KGM)",7000000,85600214,7385000,90769933
2562,12,2,LA,10063091,007,KGM,"Parboiled rice 15% (KGM)",49950,848563,1024250,12672800
2562,12,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",78000,969074,8488510,97406451
2562,12,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",26154211,606810340,321639002,8062627614
2562,12,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",399699,9729606,4129264,116495447
2562,12,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",7000,349152,560000,8263905
2562,12,2,AU,10063099,007,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 % (KGM)",316415,6236749,4691465,102473727
2562,12,2,AO,10063099,009,KGM,"Other white non-glutinous rice 100 % Grade A (KGM)",400000,5269132,3080016,41461972
2562,12,2,AE,10063099,010,KGM,"Other white non-glutinous rice 100 % Grade B (KGM)",39423071,501499042,487902844,6447152609
2562,12,2,AU,10063099,011,KGM,"Other white non-glutinous rice 100 % Grade C (KGM)",3055,59199,732333,11926930
2562,12,2,AE,10063099,012,KGM,"Other white non-glutinous rice 5 % (KGM)",110516576,1388599021,1565854816,19745852983
2562,12,2,AE,10063099,013,KGM,"Other white non-glutinous rice 10 % (KGM)",3640392,54095272,26471872,381760752
2562,12,2,AU,10063099,014,KGM,"Other white non-glutinous rice 15 %  (KGM)",906265,12465773,29571607,384550136
2562,12,2,AE,10063099,015,KGM,"White non-glutinous rice of Japonica rice (as sample) (KGM)",36203,1093819,656365,20052341
2562,12,2,US,10063099,016,KGM,"White non-glutinous rice of Basmati rice (as sample) (KGM)",360,34092,2160,204552
2562,12,2,CD,10063099,018,KGM,"White non-glutinous rice 25 % (KGM)",0,0,158409832,1906331967
2562,12,2,PG,10063099,023,KGM,"White non-glutinous rice, vitamin coated (as sample) (KGM)",909000,16637602,10960976,204138571
2562,12,2,AE,10063099,090,KGM,"Other (KGM)",2646,640103,32329,5890327
2562,12,2,HK,10063099,502,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",25229,1155722,152949,7016948
2562,12,2,AO,10063099,600,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning  (as sample) (KGM)",383220,10853782,5409869,167279839
2562,12,2,AO,10063099,601,KGM,"Non-glutinous rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",27022446,338074340,693455376,8701380412
2562,12,2,AU,10063099,603,KGM,"Special mixed rice, semi-milled or wholly milled, n.e.s  (as sample) (KGM)",35406,1840100,516839,25074369
2562,12,2,HK,10064010,000,KGM,"Of a kind used for animal feed (KGM)",2,60,99009,509624
2562,12,2,AU,10064090,003,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Extra Super (KGM)",1043352,23608521,12755331,295237704
2562,12,2,GB,10064090,004,KGM,"Other broken non-glutinous rice A1 Extra Super (KGM)",329800,3996188,2544895,35456738
2562,12,2,AT,10064090,005,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (KGM)",14860023,209650746,278853289,4144508894
2562,12,2,AU,10064090,006,KGM,"Other broken non-glutinous rice A1 Super (KGM)",8275192,92970070,161967970,1798982848
2562,12,2,BJ,10064090,010,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Extra Super  (KGM)",301940,4233406,5741109,112789257
2562,12,2,AE,10064090,012,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning A1 Super  (KGM)",3340125,45553707,157208212,2261002621
2562,12,2,NZ,10064090,018,KGM,"Broken rice parboiled A1 (KGM)",0,0,92000,1374984
2562,12,2,BE,10064090,019,KGM,"Broken glutinous rice A1 (KGM)",6295860,153564681,83849880,1692155642
2562,12,2,BE,10064090,501,KGM,"Broken non-glutinous rice of Thai Hom Mali rice A1 Super (Organic) (KGM)",40000,934047,479940,11600263
2562,12,2,CM,10064090,600,KGM,"Broken non-glutinous rice, n.e.s (as sample) (KGM)",2164000,31466594,30345225,414768202
2562,12,2,BE,10064090,602,KGM,"Broken glutinous rice, n.e.s (as sample) (KGM)",2961000,48525984,39529142,574876961
2562,12,2,GB,10064090,604,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (KGM)",0,0,20000,312147
2562,12,2,DE,10064090,608,KGM,"Broken non-glutinous rice of Thai Fragant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (Organic) (KGM)",0,0,6,474
2562,12,2,NL,10064090,609,KGM,"Broken husked rice (cargo rice), n.e.s (as sample) (Organic) (KGM)",0,0,39060,788212
