Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (Dec 2019)","FOB (BAHT)(Dec 2019)","Quantity (Jan - Dec 2019)","FOB (BAHT)(Jan - Dec 2019)"
2562,12,2,AU,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",2,150,9,278
2562,12,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",634834,24532085,9240293,367692886
2562,12,2,DE,10062010,004,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (KGM)",0,0,6,618
2562,12,2,CA,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",6896,301152,74458,3141973
2562,12,2,AT,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",261494,11370780,3534429,157892138
2562,12,2,HK,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,38200,2104627
2562,12,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,949674,32257021
2562,12,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1186983,25391048,13020396,300258382
2562,12,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,43480,1105147
2562,12,2,CH,10062090,007,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 15 %  (KGM)",0,0,89200,2971077
2562,12,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,8850,280130
2562,12,2,CA,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",1353560,19641896,13625864,185713652
2562,12,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",76000,1820193,1115000,28800381
2562,12,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",0,0,380000,9480409
2562,12,2,AO,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",1338283,19256469,13162092,199270569
2562,12,2,AE,10062090,502,KGM,"Husked Blace rice  (as sample)(Organic) (KGM)",0,0,248244,16784912
2562,12,2,BE,10062090,503,KGM,"Husked Red rice (as sample) (Organic) (KGM)",0,0,271946,17060518
2562,12,2,AE,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",14104,833955,430215,28528784
2562,12,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",5870000,73236756,80687300,1058327346
2562,12,2,AE,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",79684,4175523,930928,47393558
2562,12,2,AE,10062090,602,KGM,"Husked Blace rice (as sample) (KGM)",0,0,1821552,95607203
2562,12,2,AE,10062090,603,KGM,"Husked Red rice (as sample) (KGM)",0,0,4349482,238238341
2562,12,2,AE,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",65921,3440241,2143327,124595134
2562,12,2,NL,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",38000,2280000,393730,23649280
2562,12,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",62713,4570973,280988,16272700
2562,12,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",101230,5745597,308673,18632736
2562,12,2,DE,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",38370,2266473,53319,3654426
2562,12,2,AU,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",34975,2512427,49175,3685067
2562,12,2,AU,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",2000,140107,2000,140107
2562,12,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",129911,7864384,327393,20134877
2562,12,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",272256,16692813,729099,44521496
