Year,Month,Type,Country,"HS Code","Statistic Code","Unit Code",Description,"Quantity (May 2020)","FOB (BAHT)(May 2020)","Quantity (Jan - May 2020)","FOB (BAHT)(Jan - May 2020)"
2563,5,2,AE,10061090,001,KGM,"Non-glutinous rice in the husk (KGM)",0,0,12,2622
2563,5,2,AE,10062010,001,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 %  (KGM)",1452579,58761053,5390534,211526851
2563,5,2,CN,10062010,005,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 10 % (KGM)",14520,630046,33400,1332750
2563,5,2,CH,10062010,006,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (KGM)",0,0,300,14855
2563,5,2,AE,10062010,500,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 100 % (Organic) (KGM)",467614,22450909,2421443,114846291
2563,5,2,SG,10062010,505,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 5 % (Organic) (KGM)",0,0,14600,817283
2563,5,2,CH,10062010,515,KGM,"Husked rice (cargo rice) of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,881176,30012582
2563,5,2,AE,10062090,001,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 %  (KGM)",1031570,25841657,6707133,146745683
2563,5,2,AE,10062090,003,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 %  (KGM)",0,0,46000,1161355
2563,5,2,CA,10062090,009,KGM,"Other husked rice (cargo rice) 100 % Grade A (KGM)",0,0,1200,116387
2563,5,2,AE,10062090,010,KGM,"Other husked rice (cargo rice) 5 % (KGM)",12666,252152,6096494,83226264
2563,5,2,BE,10062090,011,KGM,"Other husked rice (cargo rice) 10 % (KGM)",0,0,173000,4128763
2563,5,2,US,10062090,012,KGM,"Other husked rice (cargo rice) 15 % (KGM)",57000,1653184,57000,1653184
2563,5,2,AU,10062090,018,KGM,"Other husked rice (cargo rice) 100 % Grade B (KGM)",622184,12828072,3609085,59287271
2563,5,2,US,10062090,501,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (Organic) (KGM)",0,0,367,36000
2563,5,2,FR,10062090,504,KGM,"Husked rice, n.e.s. (as sample) (Organic) (KGM)",55914,3871962,198314,13979725
2563,5,2,DE,10062090,506,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (Organic) (KGM)",6216,396356,11736,727002
2563,5,2,HK,10062090,508,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (Organic) (KGM)",192,13612,192,13612
2563,5,2,AU,10062090,600,KGM,"Husked rice (cargo rice) parboiled (as sample) (KGM)",2686760,39963854,20761360,275312981
2563,5,2,CA,10062090,601,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample) (KGM)",105868,5776119,409407,22001336
2563,5,2,AU,10062090,604,KGM,"Husked rice, n.e.s. (as sample) (KGM)",199300,8702254,1073732,41295333
2563,5,2,DE,10062090,605,KGM,"Husked rice (cargo rice) of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning (as sample)  (Organic) (KGM)",33400,2076766,228400,14063584
2563,5,2,AE,10062090,606,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality (KGM)",20609,1922325,333933,21051050
2563,5,2,AU,10062090,607,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (KGM)",98248,6473263,785365,45211158
2563,5,2,CH,10062090,608,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Prime quality  (Organic) (KGM)",28053,2197024,94026,6435878
2563,5,2,AE,10062090,609,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) Superb quality (Organic) (KGM)",14880,1231537,43365,3594384
2563,5,2,AE,10062090,610,KGM,"Husked Black, Dark purple,  and Purple  rice (cargo rice) (as sample) (KGM)",5500,400180,12506,906890
2563,5,2,AE,10062090,611,KGM,"Husked Black, Dark purple,  and Purple rice (cargo rice) (as sample) (Organic) (KGM)",504,48725,506,48782
2563,5,2,AE,10062090,612,KGM,"Husked Red rice (cargo rice) Prime quality (KGM)",159895,8735203,862726,49389948
2563,5,2,AE,10062090,613,KGM,"Husked Red rice (cargo rice) Superb quality (KGM)",303624,18157705,1521348,88860295
2563,5,2,BE,10062090,614,KGM,"Husked Red rice (cargo rice) Prime quality  (Organic) (KGM)",77765,5234381,276067,17505372
2563,5,2,CA,10062090,615,KGM,"Husked Red rice (cargo rice) Superb quality (Organic) (KGM)",45820,3155246,196189,12254579
2563,5,2,AE,10062090,616,KGM,"Husked Red rice (cargo rice) (as sample) (KGM)",0,0,2003,117683
2563,5,2,AE,10062090,617,KGM,"Husked Red rice (cargo rice) (as sample) (Organic) (KGM)",192,19800,194,19857
2563,5,2,AE,10062090,618,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality (KGM)",120025,6793297,750894,43187407
2563,5,2,AE,10062090,619,KGM,"Husked Black, Dark purple,  and Purple  Glutinous rice (cargo rice) Standard  quality (KGM)",48723,2998321,575058,33073407
2563,5,2,HK,10062090,620,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice) Best quality  (Organic) (KGM)",288,18191,288,18191
2563,5,2,AU,10062090,622,KGM,"Husked Black, Dark purple,  and Purple Glutinous rice (cargo rice)  (as sample) (KGM)",3500,259257,7500,572591
2563,5,2,CA,10062090,630,KGM,"Special mixed colour rice (cargo rice) (as sample) (KGM)",23010,1235764,140263,7551707
2563,5,2,CA,10062090,631,KGM,"Special mixed colour rice (cargo rice) (as sample) (organic) (KGM)",2400,188119,34500,2671622
2563,5,2,AU,10062090,632,KGM,"Husked colour rice, n.e.s. (as sample) (KGM)",16704,1642087,36354,3559910
2563,5,2,GB,10062090,633,KGM,"Husked colour rice, n.e.s. (as sample) (organic) (KGM)",5000,433437,54172,5457173
2563,5,2,US,10063030,001,KGM,"Glutinous rice 100 %  (as sample) (KGM)",0,0,0,30
2563,5,2,AE,10063030,003,KGM,"Glutinous rice 10 % (KGM)",15496280,526394279,60591077,2152071793
2563,5,2,US,10063030,004,KGM,"Glutinous rice 15 %  (KGM)",1634,73211,1634,73211
2563,5,2,VN,10063030,005,KGM,"Glutinous rice 20 %  (KGM)",0,0,30870,531315
2563,5,2,DE,10063030,006,KGM,"Glutinous rice 25 % (KGM)",8865,248220,126000,3467169
2563,5,2,CY,10063030,601,KGM,"Glutinous rice semi-milled or wholly milled, n.e.s (as sample) (KGM)",3360,145232,6360,270258
2563,5,2,AE,10063040,001,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 %  (KGM)",115719244,4336037199,581925509,20969057484
2563,5,2,AE,10063040,004,KGM,"White non-glutinous rice of Thai Hom Mali rice 5 % (KGM)",48000,1778864,577187,18444645
2563,5,2,US,10063040,005,KGM,"White non-glutinous rice of Thai Hom Mali rice 10 % (KGM)",60000,2134154,538674,15730562
2563,5,2,AU,10063040,006,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (KGM)",0,0,144715,3778517
2563,5,2,AE,10063040,500,KGM,"White non-glutinous rice of Thai Hom Mali rice 100 % (Organic) (KGM)",1448913,72923244,5943488,291339630
2563,5,2,HK,10063040,515,KGM,"White non-glutinous rice of Thai Hom Mali rice 15 % (Organic) (KGM)",0,0,9792,877814
2563,5,2,AE,10063091,001,KGM,"Parboiled rice 100% Sortexed (KGM)",73911977,1227592695,397940817,5537945666
2563,5,2,AE,10063091,002,KGM,"Parboiled rice 100%  (KGM)",1174050,22953698,9123685,139040670
2563,5,2,AE,10063091,003,KGM,"Parboiled rice 5% Sortexed (KGM)",5163140,82279546,40811313,546425825
2563,5,2,AL,10063091,004,KGM,"Parboiled rice 5%  (KGM)",27994,580264,4184976,61051600
2563,5,2,SG,10063091,007,KGM,"Parboiled rice 15% (KGM)",0,0,5000,73187
2563,5,2,BJ,10063091,600,KGM,"Parboiled rice (as sample) (KGM)",260000,3435270,1921600,24293849
2563,5,2,AE,10063099,001,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 100 % (KGM)",46180955,1197133768,198907999,4877957086
2563,5,2,AE,10063099,003,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 5 % (KGM)",894896,23005692,5487350,137792877
2563,5,2,AU,10063099,005,KGM,"White non-glutinous rice of Thai Fragrant rice, Thai Jasmine rice, Thai Aromatic rice or any other names of same meaning 10 % (KGM)",32000,416007,221000,3784058
